accession	cluster_30	cluster_50	cluster_70	cluster_90
Q6XE24	Q6XE24	Q6XE24	Q6XE24	Q6XE24
P18621	P18621	P18621	P18621	P18621
Q96FW1	Q96FW1	Q96FW1	Q96FW1	Q96FW1
Q9NZD2	Q9NZD2	Q9NZD2	Q9NZD2	Q9NZD2
Q9NZD4	Q9NZD4	Q9NZD4	Q9NZD4	Q9NZD4
Q9P2X3	Q9P2X3	Q9P2X3	Q9P2X3	Q9P2X3
P30711	P30711	P30711	P30711	P30711
P50914	P50914	P50914	P50914	P50914
P63173	P63173	P63173	P63173	P63173
P45877	Q9Y3C6	Q9Y3C6	P45877	P45877
Q9UK97	Q9UK97	Q9UK97	Q9UK97	Q9UK97
Q8IVM0	Q8IVM0	Q8IVM0	Q8IVM0	Q8IVM0
P61313	P61313	P61313	P61313	P61313
Q9UBR1	Q9UBR1	Q9UBR1	Q9UBR1	Q9UBR1
P0DPB3	P0DPB3	P0DPB3	P0DPB3	P0DPB3
P58004	P58004	P58004	P58004	P58004
P0DMN0	Q06520	P0DMN0	P0DMN0	P0DMN0
Q9BXI3	Q9BXI3	Q9BXI3	Q9BXI3	Q9BXI3
Q9H867	Q8WXB1	Q9H867	Q9H867	Q9H867
P07451	P07451	P07451	P07451	P07451
P00915	P07451	P07451	P00915	P00915
Q06520	Q06520	Q06520	Q06520	Q06520
O95429	O95429	O95429	O95429	O95429
O14508	O14508	O14508	O14508	O14508
Q9H788	Q9H788	Q9H788	Q9H788	Q9H788
Q9Y5P6	Q9Y5P6	Q9Y5P6	Q9Y5P6	Q9Y5P6
Q96KN4	Q96KN4	Q96KN4	Q96KN4	Q96KN4
P62495	P62495	P62495	P62495	P62495
Q9NWX5	Q9NWX5	Q9NWX5	Q9NWX5	Q9NWX5
Q9Y2S2	Q9Y2S2	Q9Y2S2	Q9Y2S2	Q9Y2S2
P41567	P41567	P41567	P41567	P41567
O43610	O43610	O43610	O43610	O43610
Q13347	Q13347	Q13347	Q13347	Q13347
P21266	Q03013	Q03013	Q03013	P21266
Q9BVG3	Q9BVG3	Q9BVG3	Q9BVG3	Q9BVG3
Q9BSQ5	Q9BSQ5	Q9BSQ5	Q9BSQ5	Q9BSQ5
Q96M61	Q96M61	Q96M61	Q96M61	Q96M61
Q9H0Y0	Q9H0Y0	Q9H0Y0	Q9H0Y0	Q9H0Y0
P06732	P06732	P06732	P06732	P06732
P47914	P47914	P47914	P47914	P47914
Q96F10	Q96F10	Q96F10	Q96F10	Q96F10
P07205	P07205	P07205	P07205	P07205
O75828	O75828	O75828	O75828	O75828
Q9Y576	Q96DX5	Q9Y576	Q9Y576	Q9Y576
Q9H765	Q9H765	Q9H765	Q9H765	Q9H765
Q9BYD5	Q9BYD5	Q9BYD5	Q9BYD5	Q9BYD5
P00568	P00568	P00568	P00568	P00568
Q8NFP7	Q8NFP7	Q8NFP7	Q8NFP7	Q8NFP7
P21695	P21695	P21695	P21695	P21695
O95154	O95154	O95154	O95154	O95154
Q9UGK3	Q9UGK3	Q9UGK3	Q9UGK3	Q9UGK3
P50452	P50452	P50452	P50452	P50452
O43704	Q06520	P0DMN0	O43704	O43704
P00338	P00338	P00338	P00338	P00338
P50579	P50579	P50579	P50579	P50579
P35237	P50452	P50452	P35237	P35237
O43768	O43768	O43768	O43768	O43768
Q9BS40	Q9BS40	Q9BS40	Q9BS40	Q9BS40
P30838	P43353	P30838	P30838	P30838
Q96JD6	Q96JD6	Q96JD6	Q96JD6	Q96JD6
P61086	P61086	P61086	P61086	P61086
P18440	P18440	P18440	P18440	P18440
Q15814	Q15814	Q15814	Q15814	Q15814
Q7Z3Z0	P14136	Q7Z3Z0	Q7Z3Z0	Q7Z3Z0
P00325	P00325	P00325	P00325	P00325
Q96AB6	Q96AB6	Q96AB6	Q96AB6	Q96AB6
Q9BU02	Q9BU02	Q9BU02	Q9BU02	Q9BU02
P07148	P07148	P07148	P07148	P07148
C9JR72	C9JR72	C9JR72	C9JR72	C9JR72
Q9NP31	Q9NP31	Q9NP31	Q9NP31	Q9NP31
P16083	P16083	P16083	P16083	P16083
Q92844	Q92844	Q92844	Q92844	Q92844
Q9ULC4	Q9ULC4	Q9ULC4	Q9ULC4	Q9ULC4
O15305	O15305	O15305	O15305	O15305
P05413	P02689	P02689	P05413	P05413
Q9H0C8	Q9H0C8	Q9H0C8	Q9H0C8	Q9H0C8
P62899	P62899	P62899	P62899	P62899
Q9BPZ3	Q9BPZ3	Q9BPZ3	Q9BPZ3	Q9BPZ3
Q9BRA2	Q9BRA2	Q9BRA2	Q9BRA2	Q9BRA2
P30050	P30050	P30050	P30050	P30050
Q9NRD1	Q9NRD1	Q9NRD1	Q9NRD1	Q9NRD1
Q9C037	Q9C037	Q9C037	Q9C037	Q9C037
Q9NT62	Q9NT62	Q9NT62	Q9NT62	Q9NT62
P09914	P09914	P09914	P09914	P09914
Q96LR2	Q96LR2	Q96LR2	Q96LR2	Q96LR2
O15481	Q96M61	Q96M61	O15481	O15481
Q99622	Q99622	Q99622	Q99622	Q99622
O00303	O00303	O00303	O00303	O00303
Q9NR46	Q9NR46	Q9NR46	Q9NR46	Q9NR46
P84098	P84098	P84098	P84098	P84098
P83881	P83881	P83881	P83881	P83881
P41279	P41279	P41279	P41279	P41279
Q9Y6M4	Q9Y6M4	Q9Y6M4	Q9Y6M4	Q9Y6M4
P18077	P18077	P18077	P18077	P18077
P53582	Q6UB28	P53582	P53582	P53582
Q14894	Q14894	Q14894	Q14894	Q14894
Q16537	Q16537	Q16537	Q16537	Q16537
P43166	P07451	P07451	P43166	P43166
Q8N5Z5	Q8N5Z5	Q8N5Z5	Q8N5Z5	Q8N5Z5
Q15173	Q16537	Q16537	Q16537	Q15173
P24298	P24298	P24298	P24298	P24298
Q9UJW3	Q9UJW3	Q9UJW3	Q9UJW3	Q9UJW3
Q9UJW9	Q9UJW9	Q9UJW9	Q9UJW9	Q9UJW9
Q9NP87	Q9NP87	Q9NP87	Q9NP87	Q9NP87
Q9NP62	Q9NP62	Q9NP62	Q9NP62	Q9NP62
Q5T230	Q5T230	Q5T230	Q5T230	Q5T230
Q5TBB1	Q5TBB1	Q5TBB1	Q5TBB1	Q5TBB1
P31249	Q9UBX0	P31249	P31249	P31249
P62310	P62310	P62310	P62310	P62310
P83369	P83369	P83369	P83369	P83369
Q16514	Q16514	Q16514	Q16514	Q16514
Q12952	Q16676	Q12952	Q12952	Q12952
A0JLT2	A0JLT2	A0JLT2	A0JLT2	A0JLT2
Q9NPC8	Q9NPC8	Q9NPC8	Q9NPC8	Q9NPC8
Q9NZ81	Q9NZ81	Q9NZ81	Q9NZ81	Q9NZ81
Q9NP08	P28360	Q9NP08	Q9NP08	Q9NP08
P17023	Q96H86	P17023	P17023	P17023
Q9H944	Q9H944	Q9H944	Q9H944	Q9H944
P54821	Q9UBX0	P54821	P54821	P54821
P05549	P05549	P05549	P05549	P05549
Q9BWX1	Q9BWX1	Q9BWX1	Q9BWX1	Q9BWX1
Q05048	Q05048	Q05048	Q05048	Q05048
Q96QR8	Q96QR8	Q96QR8	Q96QR8	Q96QR8
Q9Y3C6	Q9Y3C6	Q9Y3C6	Q9Y3C6	Q9Y3C6
P19419	P19419	P19419	P19419	P19419
Q02548	Q02548	Q02548	Q02548	Q02548
Q99684	Q99684	Q99684	Q99684	Q99684
Q9BY27	Q9BY27	Q9BY27	Q9BY27	Q9BY27
P35713	P35713	P35713	P35713	P35713
O60675	O60675	O60675	O60675	O60675
P52657	P52657	P52657	P52657	P52657
P26368	P26368	P26368	P26368	P26368
P12524	P12524	P12524	P12524	P12524
Q9UMQ3	Q9UMQ3	Q9UMQ3	Q9UMQ3	Q9UMQ3
Q8IZC7	Q96H86	Q8IZC7	Q8IZC7	Q8IZC7
P48742	Q8TE12	P48742	P48742	P48742
Q9C0F3	Q96H86	Q9C0F3	Q9C0F3	Q9C0F3
O60519	O60519	O60519	O60519	O60519
Q8NDP4	Q96H86	Q8IZC7	Q8NDP4	Q8NDP4
P40425	P40425	P40425	P40425	P40425
P51991	P51991	P51991	P51991	P51991
Q9BW66	Q9BW66	Q9BW66	Q9BW66	Q9BW66
Q9UNN4	Q9UNN4	Q9UNN4	Q9UNN4	Q9UNN4
Q68G74	Q8TE12	Q68G74	Q68G74	Q68G74
P09234	P09234	P09234	P09234	P09234
Q9UIW0	Q9UIW0	Q9UIW0	Q9UIW0	Q9UIW0
Q9NYD6	Q9NYD6	Q9NYD6	Q9NYD6	Q9NYD6
Q9NZC4	Q9NZC4	Q9NZC4	Q9NZC4	Q9NZC4
Q8TE12	Q8TE12	Q8TE12	Q8TE12	Q8TE12
Q9UBX0	Q9UBX0	Q9UBX0	Q9UBX0	Q9UBX0
O95343	Q9NPC8	Q9NPC8	O95343	O95343
Q9UM63	Q9UM63	Q9UM63	Q9UM63	Q9UM63
O75486	O75486	O75486	O75486	O75486
Q96LA8	Q96LA8	Q96LA8	Q96LA8	Q96LA8
Q13951	Q13951	Q13951	Q13951	Q13951
Q9UBP5	Q9UBP5	Q9UBP5	Q9UBP5	Q9UBP5
Q9UKI9	P20264	Q9UKI9	Q9UKI9	Q9UKI9
Q9UPM6	Q8TE12	Q68G74	Q9UPM6	Q9UPM6
Q13569	Q13569	Q13569	Q13569	Q13569
P13349	P13349	P13349	P13349	P13349
P28360	P28360	P28360	P28360	P28360
O95231	Q9UIW0	O95231	O95231	O95231
P20264	P20264	P20264	P20264	P20264
Q8N7U7	Q8N7U7	Q8N7U7	Q8N7U7	Q8N7U7
P17947	P17947	P17947	P17947	P17947
P14652	Q9UBX0	P14652	P14652	P14652
Q14469	Q14469	Q14469	Q14469	Q14469
Q9BS18	Q9BS18	Q9BS18	Q9BS18	Q9BS18
O94888	O94888	O94888	O94888	O94888
Q92754	P05549	P05549	Q92754	Q92754
Q14320	Q14320	Q14320	Q14320	Q14320
Q9UEE5	Q9UEE5	Q9UEE5	Q9UEE5	Q9UEE5
P78412	P78412	P78412	P78412	P78412
Q92858	Q92858	Q92858	Q92858	Q92858
Q9GZU8	Q9GZU8	Q9GZU8	Q9GZU8	Q9GZU8
Q8TDR4	Q8TDR4	Q8TDR4	Q8TDR4	Q8TDR4
Q969F1	Q969F1	Q969F1	Q969F1	Q969F1
P67870	P67870	P67870	P67870	P67870
Q16676	Q16676	Q16676	Q16676	Q16676
P04198	P12524	P04198	P04198	P04198
Q12962	Q12962	Q12962	Q12962	Q12962
P08579	P08579	P08579	P08579	P08579
Q9Y535	Q9Y535	Q9Y535	Q9Y535	Q9Y535
Q13285	Q13285	Q13285	Q13285	Q13285
Q9NXR8	Q9NXR8	Q9NXR8	Q9NXR8	Q9NXR8
O95416	O95416	O95416	O95416	O95416
Q96NM4	Q96NM4	Q96NM4	Q96NM4	Q96NM4
P10588	P10588	P10588	P10588	P10588
Q5TAB7	Q5TAB7	Q5TAB7	Q5TAB7	Q5TAB7
Q16633	Q16633	Q16633	Q16633	Q16633
P49716	P49716	P49716	P49716	P49716
Q3SYB3	Q16676	Q3SYB3	Q3SYB3	Q3SYB3
O43186	O14813	O43186	O43186	O43186
P40937	P40937	P40937	P40937	P40937
Q01658	Q01658	Q01658	Q01658	Q01658
Q8NCU7	Q8NCU7	Q8NCU7	Q8NCU7	Q8NCU7
Q15916	Q15916	Q15916	Q15916	Q15916
P29084	P29084	P29084	P29084	P29084
O95238	O95238	O95238	O95238	O95238
P09017	Q9UBX0	P09017	P09017	P09017
P15407	P15407	P15407	P15407	P15407
P24522	P24522	P24522	P24522	P24522
Q9H160	Q9H160	Q9H160	Q9H160	Q9H160
Q9GZN2	Q9GZN2	Q9GZN2	Q9GZN2	Q9GZN2
Q9Y5X4	P10588	Q9Y5X4	Q9Y5X4	Q9Y5X4
Q8TAX0	Q8TAX0	Q8TAX0	Q8TAX0	Q8TAX0
P84090	P84090	P84090	P84090	P84090
Q8NAP8	Q8NAP8	Q8NAP8	Q8NAP8	Q8NAP8
Q9HBM6	Q9HBM6	Q9HBM6	Q9HBM6	Q9HBM6
Q17R31	Q17R31	Q17R31	Q17R31	Q17R31
Q00056	Q9UBX0	Q00056	Q00056	Q00056
Q8N5P1	Q8N5P1	Q8N5P1	Q8N5P1	Q8N5P1
P83916	P83916	P83916	P83916	P83916
Q15853	Q15853	Q15853	Q15853	Q15853
Q8NI38	Q8NI38	Q8NI38	Q8NI38	Q8NI38
Q9UID6	Q9UID6	Q9UID6	Q9UID6	Q9UID6
Q9UBR4	Q8TE12	Q9UBR4	Q9UBR4	Q9UBR4
O14813	O14813	O14813	O14813	O14813
P24278	P24278	P24278	P24278	P24278
P15408	P15407	P15408	P15408	P15408
P35452	P35452	P35452	P35452	P35452
P98182	Q96H86	P98182	P98182	P98182
Q96CB8	Q96CB8	Q96CB8	Q96CB8	Q96CB8
Q9HCK0	Q15916	Q9HCK0	Q9HCK0	Q9HCK0
Q15427	Q15427	Q15427	Q15427	Q15427
Q8WVK2	Q8WVK2	Q8WVK2	Q8WVK2	Q8WVK2
Q9UBP6	Q9UBP6	Q9UBP6	Q9UBP6	Q9UBP6
Q9NWS9	Q96H86	Q9NWS9	Q9NWS9	Q9NWS9
O95619	O95619	O95619	O95619	O95619
O94805	O94805	O94805	O94805	O94805
P55771	P55771	P55771	P55771	P55771
Q9NXE8	Q9NXE8	Q9NXE8	Q9NXE8	Q9NXE8
Q96H86	Q96H86	Q96H86	Q96H86	Q96H86
Q9NR33	Q9NR33	Q9NR33	Q9NR33	Q9NR33
Q99626	Q9UBX0	Q99626	Q99626	Q99626
Q9UHQ1	Q9UHQ1	Q9UHQ1	Q9UHQ1	Q9UHQ1
Q05D32	Q05D32	Q05D32	Q05D32	Q05D32
Q16594	Q9HBM6	Q9HBM6	Q9HBM6	Q16594
Q9UK45	Q9UK45	Q9UK45	Q9UK45	Q9UK45
P50219	P28360	P50219	P50219	P50219
Q8IY57	Q8IY57	Q8IY57	Q8IY57	Q8IY57
Q7L5Y1	Q7L5Y1	Q7L5Y1	Q7L5Y1	Q7L5Y1
P23434	P23434	P23434	P23434	P23434
Q9H825	Q9H825	Q9H825	Q9H825	Q9H825
Q5T440	Q5T440	Q5T440	Q5T440	Q5T440
Q9HBH1	Q9HBH1	Q9HBH1	Q9HBH1	Q9HBH1
O43716	O43716	O43716	O43716	O43716
Q9BX68	Q9BX68	Q9BX68	Q9BX68	Q9BX68
P24752	P42765	P24752	P24752	P24752
O00142	O00142	O00142	O00142	O00142
Q96IR7	Q96IR7	Q96IR7	Q96IR7	Q96IR7
Q8TBG4	Q8IUZ5	Q8IUZ5	Q8TBG4	Q8TBG4
Q9HC36	Q9HC36	Q9HC36	Q9HC36	Q9HC36
A8MUP2	A8MUP2	A8MUP2	A8MUP2	A8MUP2
P27469	P27469	P27469	P27469	P27469
Q86U28	Q86U28	Q86U28	Q86U28	Q86U28
Q86YH6	Q86YH6	Q86YH6	Q86YH6	Q86YH6
Q9NUJ1	Q9NUJ1	Q9NUJ1	Q9NUJ1	Q9NUJ1
Q96DV4	Q96DV4	Q96DV4	Q96DV4	Q96DV4
O14561	O14561	O14561	O14561	O14561
P41247	P41247	P41247	P41247	P41247
O75648	O75648	O75648	O75648	O75648
Q9Y3E2	Q9Y3E2	Q9Y3E2	Q9Y3E2	Q9Y3E2
Q9Y5R4	Q9Y5R4	Q9Y5R4	Q9Y5R4	Q9Y5R4
P35218	P07451	P07451	P35218	P35218
Q9BXH1	Q9BXH1	Q9BXH1	Q9BXH1	Q9BXH1
Q13084	Q13084	Q13084	Q13084	Q13084
P82650	P82650	P82650	P82650	P82650
Q96CB9	Q96CB9	Q96CB9	Q96CB9	Q96CB9
Q9H2U2	Q9H2U2	Q9H2U2	Q9H2U2	Q9H2U2
Q8N0X4	Q8N0X4	Q8N0X4	Q8N0X4	Q8N0X4
Q7Z7H8	Q7Z7H8	Q7Z7H8	Q7Z7H8	Q7Z7H8
P13995	P13995	P13995	P13995	P13995
Q96EL3	Q96EL3	Q96EL3	Q96EL3	Q96EL3
Q9NWU1	Q9NWU1	Q9NWU1	Q9NWU1	Q9NWU1
Q96T66	Q96T66	Q96T66	Q96T66	Q96T66
Q8TB37	Q8TB37	Q8TB37	Q8TB37	Q8TB37
Q86X67	Q86X67	Q86X67	Q86X67	Q86X67
Q13825	Q13825	Q13825	Q13825	Q13825
O43837	P50213	O43837	O43837	O43837
Q9H3J6	Q9H3J6	Q9H3J6	Q9H3J6	Q9H3J6
O75570	Q9UGC7	O75570	O75570	O75570
P86397	P86397	P86397	P86397	P86397
Q9H5Q4	Q9H5Q4	Q9H5Q4	Q9H5Q4	Q9H5Q4
A6NK58	A6NK58	A6NK58	A6NK58	A6NK58
Q86TS9	Q86TS9	Q86TS9	Q86TS9	Q86TS9
Q8N0V3	Q8N0V3	Q8N0V3	Q8N0V3	Q8N0V3
Q3SXM5	Q3SXM5	Q3SXM5	Q3SXM5	Q3SXM5
Q8IWW8	Q8IWW8	Q8IWW8	Q8IWW8	Q8IWW8
Q8IXM3	Q8IXM3	Q8IXM3	Q8IXM3	Q8IXM3
Q8IVS2	Q8IVS2	Q8IVS2	Q8IVS2	Q8IVS2
Q96I23	Q96I23	Q96I23	Q96I23	Q96I23
Q9Y3B7	Q9Y3B7	Q9Y3B7	Q9Y3B7	Q9Y3B7
O43766	O43766	O43766	O43766	O43766
Q96I99	Q96I99	Q96I99	Q96I99	Q96I99
Q9UI43	Q9UI43	Q9UI43	Q9UI43	Q9UI43
P51398	P51398	P51398	P51398	P51398
P59942	P59942	P59942	P59942	P59942
Q9NYK5	Q9NYK5	Q9NYK5	Q9NYK5	Q9NYK5
Q8N4E7	Q8N4E7	Q8N4E7	Q8N4E7	Q8N4E7
Q9H4B0	Q9H4B0	Q9H4B0	Q9H4B0	Q9H4B0
Q5SXM8	Q5SXM8	Q5SXM8	Q5SXM8	Q5SXM8
Q99551	Q99551	Q99551	Q99551	Q99551
A6NK06	A6NK06	A6NK06	A6NK06	A6NK06
P82930	P82930	P82930	P82930	P82930
P50213	P50213	P50213	P50213	P50213
Q96E11	Q96E11	Q96E11	Q96E11	Q96E11
Q9NWU5	Q9NWU5	Q9NWU5	Q9NWU5	Q9NWU5
Q8N183	Q8N183	Q8N183	Q8N183	Q8N183
Q8IUZ5	Q8IUZ5	Q8IUZ5	Q8IUZ5	Q8IUZ5
Q9H9P8	Q9H9P8	Q9H9P8	Q9H9P8	Q9H9P8
Q14249	Q14249	Q14249	Q14249	Q14249
Q9UGC7	Q9UGC7	Q9UGC7	Q9UGC7	Q9UGC7
Q8N5Z0	Q8N5Z0	Q8N5Z0	Q8N5Z0	Q8N5Z0
Q9Y2D0	P07451	P07451	Q9Y2D0	Q9Y2D0
Q8WV74	Q8WV74	Q8WV74	Q8WV74	Q8WV74
Q9BSE5	Q9BSE5	Q9BSE5	Q9BSE5	Q9BSE5
Q9NWS8	Q9NWS8	Q9NWS8	Q9NWS8	Q9NWS8
Q96LZ3	Q96LZ3	Q96LZ3	Q96LZ3	Q96LZ3
Q4G0N4	Q4G0N4	Q4G0N4	Q4G0N4	Q4G0N4
P31937	P31937	P31937	P31937	P31937
Q86WA6	Q86WA6	Q86WA6	Q86WA6	Q86WA6
Q16698	Q16698	Q16698	Q16698	Q16698
Q99757	Q99757	Q99757	Q99757	Q99757
P32322	P32322	P32322	P32322	P32322
Q9UKU7	Q9UKU7	Q9UKU7	Q9UKU7	Q9UKU7
Q9NWQ9	Q9NWQ9	Q9NWQ9	Q9NWQ9	Q9NWQ9
Q9NRX2	Q9NRX2	Q9NRX2	Q9NRX2	Q9NRX2
Q13405	Q13405	Q13405	Q13405	Q13405
P48728	P48728	P48728	P48728	P48728
Q53S33	Q53S33	Q53S33	Q53S33	Q53S33
Q9Y399	Q9Y399	Q9Y399	Q9Y399	Q9Y399
Q9H0U6	Q9H0U6	Q9H0U6	Q9H0U6	Q9H0U6
Q9BUE6	Q9BUE6	Q9BUE6	Q9BUE6	Q9BUE6
O75208	O75208	O75208	O75208	O75208
Q14197	Q14197	Q14197	Q14197	Q14197
Q96E29	Q96E29	Q96E29	Q96E29	Q96E29
Q6IB77	Q6IB77	Q6IB77	Q6IB77	Q6IB77
Q96PE7	Q96PE7	Q96PE7	Q96PE7	Q96PE7
Q16854	O00142	Q16854	Q16854	Q16854
Q9Y676	Q9Y676	Q9Y676	Q9Y676	Q9Y676
Q9P2R7	Q96I99	Q96I99	Q9P2R7	Q9P2R7
O15382	O15382	O15382	O15382	O15382
Q96EY8	Q96EY8	Q96EY8	Q96EY8	Q96EY8
Q7Z6M4	Q7Z6M4	Q7Z6M4	Q7Z6M4	Q7Z6M4
P48735	P48735	P48735	P48735	P48735
Q6UB28	Q6UB28	Q6UB28	Q6UB28	Q6UB28
Q13794	Q13794	Q13794	Q13794	Q13794
P0C7P0	P0C7P0	P0C7P0	P0C7P0	P0C7P0
Q9BSH4	Q9BSH4	Q9BSH4	Q9BSH4	Q9BSH4
Q9NQ50	Q9NQ50	Q9NQ50	Q9NQ50	Q9NQ50
Q9NPB1	Q9NPB1	Q9NPB1	Q9NPB1	Q9NPB1
Q8IW45	Q8IW45	Q8IW45	Q8IW45	Q8IW45
Q5T2R2	Q5T2R2	Q5T2R2	Q5T2R2	Q5T2R2
Q9NPH0	Q9NPH0	Q9NPH0	Q9NPH0	Q9NPH0
Q86XE5	Q86XE5	Q86XE5	Q86XE5	Q86XE5
Q5EBM0	Q5EBM0	Q5EBM0	Q5EBM0	Q5EBM0
Q9BRJ2	Q9BRJ2	Q9BRJ2	Q9BRJ2	Q9BRJ2
Q9NZE8	Q9NZE8	Q9NZE8	Q9NZE8	Q9NZE8
P82932	P82932	P82932	P82932	P82932
P78540	P78540	P78540	P78540	P78540
Q6NVY1	Q6NVY1	Q6NVY1	Q6NVY1	Q6NVY1
Q7L3V2	Q7L3V2	Q7L3V2	Q7L3V2	Q7L3V2
Q9UII2	Q9UII2	Q9UII2	Q9UII2	Q9UII2
Q9BYC8	Q9BYC8	Q9BYC8	Q9BYC8	Q9BYC8
Q9H2K0	Q9H2K0	Q9H2K0	Q9H2K0	Q9H2K0
Q9BQP7	Q9BQP7	Q9BQP7	Q9BQP7	Q9BQP7
P49753	P49753	P49753	P49753	P49753
Q16540	Q16540	Q16540	Q16540	Q16540
Q9Y234	Q9Y234	Q9Y234	Q9Y234	Q9Y234
Q8WVM0	Q8WVM0	Q8WVM0	Q8WVM0	Q8WVM0
Q9Y6N5	Q9Y6N5	Q9Y6N5	Q9Y6N5	Q9Y6N5
Q8N983	Q8N983	Q8N983	Q8N983	Q8N983
Q96DX5	Q96DX5	Q96DX5	Q96DX5	Q96DX5
P42765	P42765	P42765	P42765	P42765
Q9Y3D2	Q9Y3D2	Q9Y3D2	Q9Y3D2	Q9Y3D2
Q7L592	Q7L592	Q7L592	Q7L592	Q7L592
O60783	O60783	O60783	O60783	O60783
Q96DP5	Q96DP5	Q96DP5	Q96DP5	Q96DP5
Q9HAC7	Q9HAC7	Q9HAC7	Q9HAC7	Q9HAC7
P53597	P53597	P53597	P53597	P53597
P55107	P55107	P55107	P55107	P55107
Q9BXJ4	Q9BXJ4	Q9BXJ4	Q9BXJ4	Q9BXJ4
P01286	P01286	P01286	P01286	P01286
P0DN86	P01225	P0DN86	P0DN86	P0DN86
Q15828	P01037	Q15828	Q15828	Q15828
Q9UHF0	Q9UHF0	Q9UHF0	Q9UHF0	Q9UHF0
Q8TAG5	Q8TAG5	Q8TAG5	Q8TAG5	Q8TAG5
Q12841	Q12841	Q12841	Q12841	Q12841
O43854	O43854	O43854	O43854	O43854
P0DJD7	P0DJD8	P0DJD8	P0DJD8	P0DJD8
Q9H2R5	P00746	Q9H2R5	Q9H2R5	Q9H2R5
Q14406	P01241	P01241	P01241	Q14406
P23280	P07451	P23280	P23280	P23280
P02810	P02810	P02810	P02810	P02810
M5A8F1	M5A8F1	M5A8F1	M5A8F1	M5A8F1
P08709	P00746	P08709	P08709	P08709
P01236	P01236	P01236	P01236	P01236
O95715	O95715	O95715	O95715	O95715
Q9UKZ9	Q9UKZ9	Q9UKZ9	Q9UKZ9	Q9UKZ9
Q30KQ6	Q30KQ6	Q30KQ6	Q30KQ6	Q30KQ6
P05111	P05111	P05111	P05111	P05111
Q16661	Q16661	Q16661	Q16661	Q16661
P11684	P11684	P11684	P11684	P11684
O95750	O95750	O95750	O95750	O95750
P81534	O15263	P81534	P81534	P81534
P02763	P02763	P02763	P02763	P02763
P83110	P83110	P83110	P83110	P83110
P04280	P10163	P10163	P04280	P04280
Q969E3	Q969E3	Q969E3	Q969E3	Q969E3
O15263	O15263	O15263	O15263	O15263
P09681	P09681	P09681	P09681	P09681
Q9H112	Q9H112	Q9H112	Q9H112	Q9H112
O94907	Q9UBT3	O94907	O94907	O94907
Q5VXI9	P07098	P07098	Q5VXI9	Q5VXI9
P09683	P09683	P09683	P09683	P09683
Q16619	Q16619	Q16619	Q16619	Q16619
P02655	P02655	P02655	P02655	P02655
P04141	P04141	P04141	P04141	P04141
Q9UIG4	Q9UIG4	Q9UIG4	Q9UIG4	Q9UIG4
Q6UXH8	Q6UXH8	Q6UXH8	Q6UXH8	Q6UXH8
P01350	P01350	P01350	P01350	P01350
P10147	P13501	P10147	P10147	P10147
Q96PH6	Q96PH6	Q96PH6	Q96PH6	Q96PH6
P02749	P02749	P02749	P02749	P02749
P05814	P05814	P05814	P05814	P05814
P01588	P01588	P01588	P01588	P01588
O15520	P11487	O15520	O15520	O15520
P35318	P35318	P35318	P35318	P35318
Q07325	P10145	Q07325	Q07325	Q07325
