accession	max_identity_to_train
P49137	0.437
Q9BTL4	0.0
P0ADY1	0.0
P33665	0.378
P56972	0.821
P25536	0.0
Q05186	0.0
P22525	0.0
P10549	0.542
Q9BSU3	0.812
P00115	0.637
P04189	0.405
Q15319	0.604
P0A8Q3	0.0
O95677	0.699
Q9H6Z4	0.575
Q9BZR6	0.351
Q6IV20	0.0
Q8N6C8	0.0
Q96JX3	0.0
Q6UXH1	0.362
Q9A5I5	1.0
Q9GZM7	0.288
O95718	0.589
P0C0V0	0.451
P0A710	0.0
O54082	0.709
Q6RFH8	0.936
Q9H6B9	0.258
P01556	0.79
P69423	0.0
P45881	0.76
Q9NS68	0.338
Q9Y2U5	0.379
Q9GZY0	0.814
Q13620	0.0
P45202	0.632
P19035	0.0
P22390	0.727
P40711	0.302
Q06110	0.986
P02712	0.348
P15529	0.434
P01008	0.872
Q9HAB3	0.0
Q9UBT2	0.307
P76172	0.0
Q4V645	0.0
P42445	0.63
P13866	0.236
Q8IXA5	0.507
Q9NQV5	0.378
Q01638	0.278
P08506	0.322
B0CPC6	0.0
Q96LI5	0.308
Q2YKV1	0.0
P29745	0.938
Q8NNK2	0.289
Q9UPQ4	0.357
Q62192	0.335
P81498	0.714
P01814	0.888
P09391	0.0
Q08334	0.3
P11473	0.42
Q96MV8	0.38
B2FNJ0	0.342
O34327	0.441
P39099	0.446
Q00994	0.433
Q9HU05	0.0
P58912	0.0
P77348	0.483
Q9Y261	0.494
Q26994	0.533
Q99750	0.0
D5AUZ9	0.0
Q55700	0.509
O14818	0.387
Q9NS73	0.0
P19427	0.0
P82943	0.433
Q9BWV3	0.0
A0A087X1C5	0.266
P95470	0.398
P0A948	0.0
P0A6L4	0.331
D7A6E5	0.0
P50416	0.0
O43623	0.52
Q6F4N4	0.0
Q8WWM9	0.0
Q8HYA9	0.0
O75920	0.0
P0A8Y8	0.0
A0A0H2ZMF9	0.355
O75956	0.0
Q96JJ6	0.0
Q27967	0.0
Q92982	0.0
Q46822	0.0
Q9R4E4	0.43
Q9NZH5	0.905
Q92633	0.408
Q5KSB7	0.349
P76141	0.0
P32722	0.0
A0A2T4VDM4	0.0
P60900	0.355
Q7A1I3	0.0
Q867W1	0.0
A8E2V8	0.805
P76256	0.0
Q96KR6	0.0
P20239	0.851
Q795Y4	0.614
P00433	0.0
P33602	0.199
P10408	0.502
P12293	0.759
Q9H2V7	0.253
P39604	0.295
P0AGF4	0.305
P0A9B6	0.472
P25942	0.322
P30793	0.0
P48378	0.0
Q8TCY9	0.0
Q9C0C6	0.0
Q6UWP7	0.285
Q5JUK2	0.0
Q8RLX0	0.912
P9WHJ3	0.715
Q9Y6H8	0.601
P0AEM6	0.289
A0A3Q0NBH7	1.0
P31347	0.416
Q99836	0.337
Q9NPR2	0.35
P08047	0.525
P42677	0.0
Q8IXQ6	0.0
A9ZM27	1.0
P80915	0.0
Q8N693	0.526
Q5ZXE0	0.995
P31948	0.365
Q8WVP7	0.0
P94545	0.0
Q9BX59	0.0
P0AFB8	0.429
O14979	0.648
Q86X51	0.0
P36438	0.0
Q5VVJ2	0.0
Q9HB75	0.481
Q969T9	0.0
P84908	0.0
P0A6N8	0.291
Q8WU90	0.0
Q2KHN1	0.404
O43918	0.441
P32823	0.499
Q9ULR3	0.215
Q05884	0.292
O15127	0.456
Q05202	0.0
P39019	0.0
P30125	0.524
Q8TE49	0.566
Q9AF95	0.621
P0A830	0.398
P0AEB2	0.308
A8FNH9	0.0
Q16674	0.451
Q99576	0.0
Q8TBZ3	0.391
P0DKR6	0.493
O60635	0.303
P00935	0.322
B7J3C9	0.276
P03819	0.0
P71590	0.0
Q965E2	0.0
O95817	0.4
P0AEX7	0.0
P31884	0.494
P06734	0.421
O95237	0.304
D4A540	0.0
P27449	0.0
Q9BX67	0.367
Q15025	0.0
P0A9Z7	0.653
Q8N2I9	0.402
P31944	0.302
P27434	0.0
P44526	0.444
E1WAC8	0.349
P37624	0.299
P0A452	0.687
P39824	0.468
Q9BZZ5	0.0
P05305	0.0
P15358	0.0
P01225	0.914
Q07065	0.0
P80958	0.759
Q59639	0.0
A0A0A1H8I4	0.222
Q9Z4J7	0.376
P00144	0.328
P26729	0.349
A1XCI9	0.0
P0ADS2	0.0
P0A8G0	0.0
P01762	0.846
P13518	0.246
Q03405	0.0
P31429	0.0
P0AA04	0.37
O75629	0.0
P0AEC5	0.345
P00091	0.416
P77202	0.278
Q8IVP5	0.0
Q9Y2P5	0.457
P13744	0.48
P0ABV6	0.29
Q9HB71	0.0
Q5VZV1	0.0
P33643	0.0
P0A6F5	0.605
Q9HVM5	0.467
P21128	0.423
Q02169	0.351
Q6UX52	0.0
Q6ZNB7	0.0
P0AD14	0.296
P42254	0.971
Q56415	0.0
F2QXM5	0.0
O61668	0.0
P71086	0.313
P11150	0.461
O76076	0.394
P55320	0.283
P78545	0.425
Q496J9	0.31
P01006	0.669
P86242	0.0
Q2FXC3	0.629
P22905	0.0
P01782	0.82
Q6RSN5	0.325
P00739	0.783
Q14934	0.525
Q8NAG6	0.351
Q59533	0.877
P9WIL7	0.0
P22455	0.421
P00703	0.931
P01703	0.822
P0ABI8	0.461
P24232	0.0
Q08IS0	0.263
P33231	0.63
P67977	0.898
Q9NQR9	0.0
Q14657	0.0
P51067	0.93
Q969H8	0.0
P38393	0.0
P46094	0.369
P9WIR7	0.996
Q9GZT9	0.642
P9WP41	0.436
P35414	0.333
P9WQB3	0.637
Q98996	0.992
Q69383	0.0
P07662	0.262
Q8GFE2	0.476
P61316	0.0
O95047	0.437
P26221	0.562
Q4WZ11	0.0
P22748	0.402
Q9UBF6	0.505
Q6NUI2	0.0
P08400	0.33
Q86YT5	0.0
B9XZG7	0.39
P67876	0.836
P73276	0.394
Q5I7T1	0.0
P0C054	0.507
P62753	0.0
Q15649	0.0
P0C0L2	0.0
P9WGM9	0.462
Q96GN5	0.476
P43478	0.27
P53366	0.0
P9WG65	0.0
P0A951	0.0
P0A8Y1	0.0
P0ABJ9	0.616
P07017	0.58
P28062	0.702
P51688	0.322
P04036	0.293
P06971	0.248
P29957	0.23
Q6XPS3	0.0
P80244	0.697
P35858	0.775
P0DJI8	0.934
P43131	0.0
P0A9P6	0.438
P12946	0.0
P0A959	0.29
P37173	0.411
A0A160PB22	0.397
Q82YZ0	0.312
A6NI61	0.0
Q9Y6H6	0.0
P62023	0.739
P31947	0.614
P30040	0.0
P0AD63	0.657
O94829	0.243
P00372	0.0
P0AEC8	0.359
Q81HT3	0.511
P06312	0.681
P19926	0.315
Q9HWF9	0.477
C0HL65	0.473
P0AFY8	0.0
P12707	0.924
P9WHT9	0.625
Q0GY40	0.547
P08697	0.304
O14763	0.522
Q9ULM6	0.395
Q8RJP2	0.0
Q86UW9	0.473
O32131	0.0
E9PQX1	0.0
P21926	0.466
P21226	0.788
Q2ULM2	0.446
P21570	0.43
P00692	0.774
B3A003	0.0
Q3L1D1	0.731
P05371	0.0
Q15365	0.828
Q60994	0.825
P84887	0.0
Q9XDP2	0.0
P0C8G7	0.0
P16989	0.434
Q94734	0.0
Q9H427	0.323
P16655	0.0
P55039	0.575
Q7A1N5	0.0
P9WPQ9	0.496
P43686	0.436
P16699	0.513
P80702	0.0
P04737	0.0
Q51485	0.0
P35520	0.0
O32220	0.497
Q81WK7	0.81
D1MGU0	0.696
P9WIC1	0.0
P13001	0.282
A1X158	0.0
P75949	0.29
Q16566	0.513
P0AC55	0.0
Q45071	0.0
P0A7B8	0.54
Q13112	0.296
P01568	0.92
P39045	0.463
O83553	0.506
P80748	0.622
P75960	0.912
Q9NYG5	0.379
Q8IXP5	0.0
Q17128	0.0
P9WPE5	0.0
P49051	0.0
P23886	0.318
P23030	0.963
P80505	0.598
P31572	0.0
P42660	0.254
O64411	0.264
Q6EH50	0.295
Q99543	0.0
P81894	0.0
Q84ZX5	0.0
B7NBV8	1.0
P9WG43	0.449
Q86VD7	0.305
P63284	0.571
P28307	0.748
P13661	0.319
P0A8P6	0.376
P10906	0.0
Q7L513	0.38
Q9H252	0.398
O33405	0.838
Q7Z6V5	0.0
Q92904	0.826
P04994	0.0
P33487	0.656
Q8JFX7	0.447
P82593	0.307
Q07325	0.462
D3DKC4	0.553
O95905	0.0
B8AL97	0.346
P9WF39	0.41
Q16539	0.754
Q2HZ28	0.804
P02970	0.0
Q609I3	0.618
P30230	0.925
P29026	0.489
P35557	0.0
P00936	0.0
G4SW86	0.434
P0A749	0.935
Q9LCB9	0.0
P45523	0.467
Q5XVM9	0.0
P37197	0.47
P50406	0.333
A0A0H2VG78	0.337
Q56582	0.0
Q9UK32	0.769
P60061	1.0
P18657	0.0
O00258	0.0
P31133	0.359
Q9NWS1	0.0
P61153	0.763
P09954	0.847
P32802	0.0
P04982	0.0
P09787	0.0
Q0T3G3	0.996
P0AG90	0.0
Q51945	0.771
P08622	0.323
P48509	0.309
P0AGE4	0.277
B1X6B7	1.0
B2G331	0.528
Q96H96	0.35
P13000	0.0
P35823	0.0
P0AC78	0.0
Q9S4K9	0.337
Q0JRK4	0.984
P10297	0.316
O75398	0.41
P0A921	0.0
P0A832	0.0
Q99289	0.0
O55038	0.34
Q04206	0.403
O60869	0.0
P76344	0.0
Q4PRD1	0.558
P14562	0.339
P05793	0.0
P9WHQ9	0.497
P04080	0.0
Q9UK23	0.0
P24059	0.0
P18335	0.668
P06715	0.293
Q5SIY4	0.536
O14638	0.628
P26011	0.396
Q99705	0.325
P54837	0.0
P0A988	0.0
Q9UKG4	0.0
Q9NYL2	0.343
P0A8J8	0.387
P37902	0.26
Q99735	0.372
Q99417	0.0
O87948	0.517
B9KDD4	0.572
P09211	0.0
P13504	0.265
Q8WXI3	0.38
A0PJK1	0.24
P00579	0.602
P73429	0.871
Q4UU85	0.362
Q47945	0.524
Q15077	0.363
Q8WML4	0.0
Q9NUT2	0.352
P0ABK2	0.575
Q06069	0.312
P0AET2	0.0
P54512	0.0
P42632	0.792
Q9H2J7	0.445
Q6UWY5	0.325
Q02094	0.503
Q99ML8	0.0
O60870	0.0
P54466	0.0
P52294	0.487
E1VBK1	0.272
P56880	0.37
P22641	0.0
Q9Y315	0.382
P26877	0.398
P54479	0.293
O00237	0.477
O34580	0.0
Q147X3	0.271
Q8NDQ6	0.533
P54375	0.0
P14678	0.0
P08899	0.544
Q9BY78	0.333
Q96QR1	0.0
P07992	0.0
Q8WV44	0.517
Q9BQ39	0.357
P18959	0.531
Q9UHI7	0.0
Q5LT66	0.0
P20933	0.82
P32055	0.0
P0DY93	0.0
P32173	0.0
Q3YBM2	0.0
Q9H063	0.0
P0CZ00	0.268
Q8N684	0.0
Q9UJV9	0.408
P59332	0.996
P52682	0.71
Q7Z3H4	0.0
Q7A827	0.644
Q86SR1	0.435
G1CWH3	0.895
Q7Z7F0	0.0
P69791	0.0
C5B164	0.0
O34344	0.0
P01045	0.613
P45947	0.649
Q8WWG9	0.0
P45983	0.807
P00747	0.803
Q5F1R6	0.493
Q26636	0.537
Q9BR61	0.41
Q16644	0.418
P14377	0.421
P01764	0.871
P0A6X3	0.0
P9WGB7	0.311
O51076	0.0
P46782	0.0
Q6ZN55	0.523
O15205	0.419
Q8N6L0	0.0
P18895	0.0
P42229	0.938
P27125	0.0
P37547	0.0
Q6GIL8	1.0
Q9BRT9	0.0
Q9EQX0	0.386
Q1HLC0	0.762
P18278	0.71
Q9Y2T7	0.423
Q5NUL3	0.276
P9WPB3	0.584
Q7RTU4	0.0
Q9XIV8	0.0
Q9H0C2	0.284
P02708	0.362
P02782	0.495
Q9GZR7	0.333
P69783	0.982
P44276	0.0
Q06K77	0.394
Q06749	0.633
P0C1A9	0.0
O95989	0.267
Q4W6G0	0.512
P01743	0.777
Q9KYH3	0.851
Q9XDM4	0.0
P05546	0.819
Q8NXY2	0.996
P23135	0.44
P07001	0.308
Q90WJ7	0.0
Q15762	0.0
P80188	0.357
O15304	0.0
P0A6H5	0.367
Q9BPY8	0.396
P0DV46	0.0
P33406	0.0
Q6DN12	0.0
P23142	0.422
P61599	0.0
P0A9M0	0.558
P0A1V6	0.993
P94552	0.289
P0AAD6	0.51
Q9NZN9	0.0
P26780	0.323
Q01831	0.0
Q5SHN6	0.708
Q86XL3	0.0
P0AAM1	0.0
Q9QXU1	0.421
P9WN99	0.313
Q3Y5Z3	0.8
Q1XG90	0.0
Q62632	0.928
P25963	0.436
Q9BUH6	0.0
Q9ZBV4	0.429
Q8TC36	0.424
P70090	1.0
P0AGJ9	0.263
P9WGK3	0.614
P06992	0.0
P54507	0.0
Q9H3K6	0.0
Q99615	0.427
O05465	0.436
Q9UFF9	0.0
P16260	0.263
O00100	0.273
Q9H808	0.258
P0A6M8	0.269
P0AFX7	0.0
P80046	0.243
P35053	0.887
P21588	0.873
P40732	0.658
Q6UXN8	0.35
Q9M373	0.864
D2Z026	0.431
Q01151	0.0
P31069	0.303
Q9H0A8	0.0
O30434	0.477
P10820	0.0
Q8IUQ4	0.849
O60602	0.289
P48747	0.716
P0DME0	0.368
P52298	0.38
B7MCM0	1.0
Q969N2	0.0
P29788	0.702
Q969X2	0.434
Q9Y5U2	0.0
I6X5W1	0.0
Q99856	0.0
P45131	0.366
Q9I4L5	0.995
Q14CZ0	0.0
P75358	0.555
P21728	0.314
P96740	0.415
P76474	0.0
P22412	0.0
P01274	0.0
O15155	0.0
P0A8R0	0.0
P31697	0.0
O31678	0.327
P0A862	0.0
P9WGL5	0.0
B1MH84	0.333
Q01269	0.254
P11279	0.362
O32219	0.363
P0AFM6	0.0
F7J1C8	0.0
Q96FZ5	0.0
P09394	0.0
O14503	0.0
Q6ZSB9	0.495
P61088	0.468
P23827	0.0
P13917	0.619
P77499	0.32
Q7M4T0	0.0
Q7KZF4	0.0
P19594	0.0
O00300	0.312
Q9JI59	0.344
P0A887	0.0
Q74P24	0.247
P52013	0.673
O64393	0.682
P61247	0.0
Q47898	0.375
Q92PZ7	0.889
P82683	0.521
B1AL88	0.0
Q8ZPP5	0.333
Q00653	0.444
P0A6I0	0.4
P0A6X7	0.366
P39214	0.613
Q8TF63	0.0
P00811	0.432
P34095	0.928
P30101	0.93
O34507	0.416
P37412	0.518
Q9H3M7	0.0
P06008	0.0
Q7WY64	0.0
P0AES6	0.966
P34982	0.425
O43464	0.402
P05824	0.0
P9WMN3	0.418
P32156	0.0
P0A964	0.0
Q05811	0.0
Q41162	0.516
Q7T045	0.579
P04032	0.728
Q9UM07	0.0
P0CK94	0.951
P49852	0.0
P33436	0.951
P0A6A8	0.0
P77444	0.311
P41145	0.594
P24205	0.306
C0HL83	0.453
P42251	0.343
P30542	0.487
P07883	0.0
O34349	0.0
P13686	0.312
B2RKV3	0.387
P51795	0.328
Q9UK73	0.354
P02652	0.0
Q9BQB4	0.404
Q96D96	0.0
Q9BV20	0.0
Q8XB78	1.0
P01709	0.913
Q04441	0.473
P0A6J3	0.0
Q4PRD2	0.554
Q4LCT0	0.975
P00846	0.0
Q9RFC8	0.0
P23035	0.642
P40763	0.528
Q8N474	0.0
Q7CPF5	0.396
P01218	0.0
P17865	0.698
P54727	0.352
Q00017	0.0
Q8IYR2	0.269
P06875	0.302
Q9BQ95	0.0
P42971	0.276
P13061	0.67
P31057	0.0
P77172	0.288
C4B644	0.42
Q5MIW7	0.0
Q92748	0.0
P32177	0.0
O84947	0.0
P0A446	0.907
Q97NV3	0.0
P75831	0.36
Q7RTS3	0.587
Q8DIV4	0.941
P01036	0.562
P74714	0.0
Q9GZY8	0.0
Q9WZ31	0.23
P62195	0.519
P01889	0.695
Q7Q7R8	0.0
O31775	0.0
Q9Y2C5	0.381
Q56A73	0.0
P35226	0.381
A0QQF4	0.0
Q01740	0.576
Q15797	0.896
Q5TAQ9	0.243
Q5TAT6	0.0
Q9P0I2	0.0
P13063	0.396
P0ABG4	0.324
P0A387	1.0
Q8N9I9	0.437
G3XD24	0.354
P08821	0.584
C5B120	0.5
P0AFE8	0.263
Q90935	0.359
Q8RMH6	0.327
P76055	0.0
Q9M653	0.541
Q46222	0.257
P62263	0.0
O00167	0.677
Q8IYX4	0.434
Q8N108	0.256
P0AE01	0.0
P45796	0.473
O34777	0.0
P27278	0.0
P0ADE4	0.211
O43581	0.309
Q9BWK5	0.0
P39186	0.54
P0C0Z7	0.601
P69210	0.346
P36929	0.322
P0A698	0.561
P0A825	0.543
Q9UQ13	0.329
P9WKE3	0.459
P21458	0.0
Q75WF2	0.0
Q15349	0.84
P47710	0.336
P11643	0.0
P80506	0.625
O15229	0.244
Q56P03	0.0
P18775	0.324
P31152	0.546
P02663	0.356
V5YM14	0.319
O43852	0.0
Q5VY09	0.0
Q9NVP2	0.0
P00441	0.3
D7URM0	0.841
