representative	member
P62753	P62753
P62847	P62847
Q12905	Q12905
Q12906	Q12906
Q13155	Q13155
Q5F1R6	Q5F1R6
Q7Z3H0	Q7Z3H0
Q86TI2	Q86TI2
Q8IYM2	Q8IYM2
Q8TE77	Q8TE77
Q92890	Q92890
Q96GC6	Q96GC6
Q96GC6	Q8NA42
Q96GC6	Q9BRR0
Q96GC6	Q8NDQ6
Q9H871	Q9H871
Q9NXV2	Q9NXV2
Q9UQ80	Q9UQ80
A4D2B0	A4D2B0
O14737	O14737
O43324	O43324
O43665	O43665
O96007	O96007
P08708	P08708
P15922	P15922
P16216	P16216
P16216	P17901
P16216	P28623
P17259	P17259
P17259	P35755
P17259	P0A0Y3
P19487	P19487
P23903	P23903
P26221	P26221
P26221	Q9C9H5
P26221	Q5NAT0
P26221	Q02934
P26221	P23659
P27032	P27032
P27032	P37696
P27032	P18336
P27033	P27033
P32520	P32520
P32520	P21982
P35823	P35823
P44544	P44544
P45323	P45323
P45323	P37329
P80172	P80172
P81549	P81549
P94691	P94691
Q04064	Q04064
Q05202	Q05202
Q0TUS0	Q0TUS0
Q0TUS0	P0C2E9
Q0TUS0	P23564
Q8NKX2	Q8NKX2
A4QD57	A4QD57
O34215	O34215
O34215	Q47945
P00131	P00131
P00131	P00132
P00131	Q727P6
P05695	P05695
P07254	P07254
P07254	P32823
P07254	P11220
P07625	P07625
P07625	P00094
P07625	P00091
P07625	Q3J164
P07625	P00096
P07883	P07883
P07883	Q6F4N4
P0A1E7	P0A1E7
P0A1E7	P28307
P0AD63	P0AD63
P0AD63	P62593
P0AD63	P0A9Z7
P0AD63	P23954
P0AD63	P28585
P0AD63	P22390
P0AD63	P52663
P0AD63	P52682
P0AD63	P10424
P0AD63	P39824
P0CK94	P0CK94
P0CK94	P01556
P0CK94	P32890
P12334	P12334
P12334	P00282
P12334	Q9F646
P12334	P00280
P12334	P0A321
P12334	Q8RMH6
P12375	P12375
P13113	P13113
P18958	P18958
P27050	P27050
P29739	P29739
P33379	P33379
P33682	P33682
P33682	P26222
P42512	P42512
P42512	P16869
P59206	P59206
P80672	P80672
P81894	P81894
Q44856	Q44856
Q59478	Q59478
Q5N0R0	Q5N0R0
Q5SME3	Q5SME3
Q8RJP2	Q8RJP2
Q99289	Q99289
Q9ZG90	Q9ZG90
O05544	O05544
O52055	O52055
P00260	P00260
P04369	P04369
P06886	P06886
P0A1Z2	P0A1Z2
P0A1Z2	P0AEU7
P15363	P15363
P18895	P18895
P19369	P19369
P19584	P19584
P20713	P20713
P20713	P51691
P22629	P22629
P24093	P24093
P28581	P28581
P29822	P29822
P33406	P33406
P35706	P35706
P35706	P01006
P35706	P61153
P35706	P83544
P43131	P43131
P48823	P48823
P48982	P48982
Q09LX1	Q09LX1
Q09LY5	Q09LY5
Q182W3	Q182W3
Q182W3	P35149
Q2FZP6	Q2FZP6
Q2FZP6	P22188
Q50LF2	Q50LF2
Q50LF2	P40875
O34525	O34525
P00803	P00803
P00804	P00804
P00804	Q9HVM5
P02916	P02916
P02929	P02929
P03959	P03959
P0A6A0	P0A6A0
P0A710	P0A710
P0A712	P0A712
P0A8Q0	P0A8Q0
P0AA93	P0AA93
P0AAD6	P0AAD6
P0AAD6	P0AAD8
P0AAJ3	P0AAJ3
P0AAJ3	P0AAJ5
P0ABC7	P0ABC7
P0ABI4	P0ABI4
P0ABU9	P0ABU9
P0ABU9	P0ABU7
P0AC30	P0AC30
P0AC78	P0AC78
P0AD65	P0AD65
P0AD65	D0C8Z9
P0AD68	P0AD68
P0ADL1	P0ADL1
P0ADY1	P0ADY1
P0AEL0	P0AEL0
P0AEL0	P0AEK7
P0AEN4	P0AEN4
P0AER0	P0AER0
P0AER0	O14520
P0AER0	P60844
P0AER0	P41181
P0AFE4	P0AFE4
P0AFY6	P0AFY6
P0AG90	P0AG90
P0AG96	P0AG96
P0AGA2	P0AGA2
P0C0S1	P0C0S1
P10906	P10906
P11551	P11551
P11667	P11667
P13518	P13518
P13801	P13801
P22525	P22525
P23837	P23837
P23837	D0ZV89
P23894	P23894
P26458	P26458
P26458	P0ABK2
P26459	P26459
P26459	P0ABJ9
P28306	P28306
P28628	P28628
P30847	P30847
P30847	P77485
P30847	O69729
P30847	P96368
P33015	P33015
P37597	P37597
P39453	P39453
P42601	P42601
P46139	P46139
P46139	A0A0H2Z7X0
P46139	Q9I4L5
P52101	P52101
P69210	P69210
P69210	P69212
P69805	P69805
P75830	P75830
P76339	P76339
P76343	P76343
P76445	P76445
P77172	P77172
P77510	P77510
Q07868	Q07868
Q46927	Q46927
O31539	O31539
O34840	O34840
O34876	O34876
O34876	Q04LE4
P02918	P02918
P02921	P02921
P08697	P08697
P18892	P18892
O18330	O18330
O18330	O77061
O18330	Q17060
P09464	P09464
Q01638	Q01638
Q01638	P13504
P10163	P10163
P10163	P04280
Q8H6Q1	Q8H6Q1
P30438	P30438
Q86M34	Q86M34
Q4WZ11	Q4WZ11
Q07558	Q07558
Q25154	Q25154
P18417	P18417
Q76FB0	Q76FB0
Q76FB0	P0A386
Q76FB0	P0A387
Q76FB0	Q8DJE2
Q76FB0	Q55013
Q76FB0	Q55210
P03971	P03971
Q9BZM5	Q9BZM5
P02652	P02652
Q8NBL1	Q8NBL1
P83234	P83234
P83234	O75677
P83234	O75679
P04180	P04180
P07602	P07602
P15242	P15242
P15242	Q26636
P15242	P07154
P15242	P06797
P15242	P53634
P15242	P08176
P85261	P85261
P85261	P84527
O13547	O13547
P83313	P83313
Q86YT9	Q86YT9
Q96IQ7	Q96IQ7
P25033	P25033
P25033	Q1HLC0
Q01460	Q01460
P55320	P55320
Q6UX52	Q6UX52
Q27967	Q27967
P08541	P08541
Q9Z0K8	Q9Z0K8
P31025	P31025
P01239	P01239
P01239	P12420
P01239	P01240
P01239	P09585
P01239	P69130
P01239	P09586
A1BQQ5	A1BQQ5
Q9UHF4	Q9UHF4
Q63345	Q63345
Q63345	P55803
Q63345	Q61885
P86407	P86407
Q8SPQ0	Q8SPQ0
Q8SPQ0	Q13231
Q8SPQ0	O35744
Q8SPQ0	Q60557
P21919	P21919
P07359	P07359
Q1XG90	Q1XG90
Q1XG90	B3A003
Q8J0K5	Q8J0K5
Q8J0K5	Q9HE18
Q8J0K5	P26220
Q8J0K5	P26515
O64411	O64411
P29421	P29421
P29421	P07596
P01274	P01274
P16636	P16636
Q9BX59	Q9BX59
D7UQ40	D7UQ40
Q9FXT4	Q9FXT4
Q17043	Q17043
Q14773	Q14773
O93233	O93233
Q5EPH2	Q5EPH2
P02681	P02681
Q7L513	Q7L513
Q64277	Q64277
P36897	P36897
P36897	P37173
Q92154	Q92154
Q96QR1	Q96QR1
P81054	P81054
Q99972	Q99972
Q9H5V8	Q9H5V8
P01348	P01348
P01348	P22969
P01348	P01347
Q12546	Q12546
P08091	P08091
D3GDK4	D3GDK4
O54767	O54767
O54767	P20239
P02877	P02877
P02877	O64393
P28825	P28825
Q969N2	Q969N2
Q6EH50	Q6EH50
Q6EH50	P10297
P56526	P56526
P56526	Q9C0Y4
P56526	Q653V7
P24807	P24807
P07529	P07529
O55232	O55232
Q5B833	Q5B833
Q08481	Q08481
P0DPU1	P0DPU1
P0DPU1	Q6UWM5
P0DPU1	P35778
P0DPU1	Q7ZZN8
P06911	P06911
P06911	A2AJB7
A2AEP0	A2AEP0
P20462	P20462
P27485	P27485
P27485	P02753
A0A2I8B353	A0A2I8B353
C9K4X8	C9K4X8
Q99013	Q99013
Q6UW56	Q6UW56
P01168	P01168
Q16602	Q16602
Q17058	Q17058
P02788	P02788
P02788	P19134
P02788	P80429
P01165	P01165
P01165	P12961
P01165	P05408
P14384	P14384
P21581	P21581
P21581	P20826
P22146	P22146
P21128	P21128
Q15582	Q15582
Q15582	O11780
P02760	P02760
B2NHN2	B2NHN2
B2NHN2	O05527
Q8T1G4	Q8T1G4
P01911	P01911
Q8JFQ0	Q8JFQ0
Q8JFQ0	Q9PW66
Q8JFQ0	P58294
Q8JFQ0	Q6UWE3
Q9NQ34	Q9NQ34
P02702	P02702
P01226	P01226
P01226	P01225
P01226	P01223
P01226	P37240
P01226	Q08127
P01226	P53543
P01226	P01231
P01226	P04651
P01226	P08751
Q8NBI3	Q8NBI3
P07151	P07151
P07151	P01887
Q8BSU2	Q8BSU2
Q9UKD1	Q9UKD1
Q9UKD1	Q9Y692
Q9UKT9	Q9UKT9
Q9UKT9	Q13422
Q9UM11	Q9UM11
Q9UMX2	Q9UMX2
Q9Y2U5	Q9Y2U5
Q9Y5K5	Q9Y5K5
Q9Y6B2	Q9Y6B2
Q9Y6G5	Q9Y6G5
Q9Y6W6	Q9Y6W6
P00374	P00374
Q6GPH4	Q6GPH4
Q8NAG6	Q8NAG6
Q96PZ2	Q96PZ2
Q99496	Q99496
Q99733	Q99733
Q9BV79	Q9BV79
Q9BWT1	Q9BWT1
Q9BWT1	Q96GN5
Q9NRF2	Q9NRF2
Q9NVH2	Q9NVH2
Q9UNE7	Q9UNE7
O60829	O60829
P01583	P01583
Q13426	Q13426
Q13829	Q13829
Q13829	Q8WZ19
Q14397	Q14397
Q6UXN9	Q6UXN9
Q8IZU0	Q8IZU0
Q8N6R0	Q8N6R0
Q8NEY8	Q8NEY8
Q96C12	Q96C12
Q9BQ95	Q9BQ95
Q9BRT9	Q9BRT9
Q9BUH6	Q9BUH6
Q9NQ88	Q9NQ88
Q9NQP4	Q9NQP4
Q9NYF0	Q9NYF0
Q9UBZ4	Q9UBZ4
Q9Y4E8	Q9Y4E8
Q9Y4E8	Q13107
Q9Y4E8	P51784
Q9Y606	Q9Y606
O94880	O94880
P09211	P09211
P12956	P12956
P35557	P35557
P43490	P43490
P47929	P47929
P47929	P17931
P47929	O00182
P53370	P53370
P80217	P80217
P80217	Q13287
Q01831	Q01831
Q14653	Q14653
Q15003	Q15003
Q53H80	Q53H80
Q7KZF4	Q7KZF4
Q8N635	Q8N635
Q92560	Q92560
Q96Q11	Q96Q11
Q96Q11	P0ABF1
Q9C0D0	Q9C0D0
Q9H1K1	Q9H1K1
Q9UHV9	Q9UHV9
Q9Y263	Q9Y263
O75398	O75398
P10599	P10599
P18754	P18754
P21580	P21580
P46527	P46527
P49789	P49789
Q6ZV65	Q6ZV65
Q96FF9	Q96FF9
Q99417	Q99417
Q9BRX9	Q9BRX9
Q9ULZ2	Q9ULZ2
Q9Y6K1	Q9Y6K1
O14558	O14558
O14558	P02489
O14558	Q16082
O15347	O15347
O75791	O75791
P04271	P04271
P04271	P26447
P31947	P31947
P31947	P62258
Q07666	Q07666
Q3MIT2	Q3MIT2
Q6P589	Q6P589
Q86Y01	Q86Y01
Q86Y01	Q86UW9
Q9BWK5	Q9BWK5
Q9BY41	Q9BY41
Q9BY41	Q92769
Q9H7D7	Q9H7D7
P27623	P27623
P36680	P36680
P37095	P37095
P37547	P37547
P37573	P37573
P37794	P37794
P39377	P39377
P39787	P39787
P45470	P45470
P50849	P50849
P50849	P05055
P52129	P52129
P60584	P60584
P60595	P60595
P60595	Q9X0C8
P71020	P71020
P75949	P75949
P76008	P76008
P76256	P76256
P76458	P76458
P76491	P76491
P77182	P77182
P77499	P77499
P94388	P94388
P94388	Q9WXT2
P94552	P94552
Q45493	Q45493
Q45493	O31760
Q45493	P9WGZ9
Q45493	B9XZG7
Q46822	Q46822
P00963	P00963
P05042	P05042
P05042	P9WN93
P06722	P06722
P06992	P06992
P09377	P09377
P0A6A8	P0A6A8
P0A6F9	P0A6F9
P0A6L4	P0A6L4
P0A6L4	A7B555
P0A6L4	Q9S4K9
P0A6M8	P0A6M8
P0A6N4	P0A6N4
P0A6V5	P0A6V5
P0A715	P0A715
P0A794	P0A794
P0A7B8	P0A7B8
P0A7B8	P39070
P0A809	P0A809
P0A812	P0A812
P0A817	P0A817
P0A8G0	P0A8G0
P0A8M0	P0A8M0
P0A8T1	P0A8T1
P0A8X0	P0A8X0
P0A944	P0A944
P0A962	P0A962
P0A964	P0A964
P0A988	P0A988
P0A991	P0A991
P0A9E0	P0A9E0
P0AAP3	P0AAP3
P0ACY3	P0ACY3
P0ADP2	P0ADP2
P0AEI1	P0AEI1
P0AEM6	P0AEM6
P0AF67	P0AF67
P0AFB5	P0AFB5
P0AFF6	P0AFF6
P0AFY8	P0AFY8
P0AG24	P0AG24
P0AG67	P0AG67
P0C0K3	P0C0K3
P10026	P10026
P12042	P12042
P14375	P14375
P14375	P07604
P14375	Q06065
P14375	P0AFB8
P14375	P0AFU4
P14375	P37344
P16659	P16659
P17169	P17169
P17854	P17854
P17854	P9WIK3
P9WJY3	P9WJY3
P9WJY3	K5B8L6
P9WNK7	P9WNK7
Q00515	Q00515
Q2FV99	Q2FV99
Q2FVT1	Q2FVT1
P01830	P01830
P01830	P01831
P01477	P01477
P01477	P24330
P21326	P21326
P35625	P35625
P35625	P26652
P35625	P16368
P53616	P53616
P01083	P01083
B0FHH8	B0FHH8
O00300	O00300
P05305	P05305
P0DQP8	P0DQP8
P0DQP8	C0STK6
B2G331	B2G331
B2G331	Q29143
B2G331	G9I929
B2G331	I2G9B4
B2G331	P00991
B2G331	A8Y7P1
B2G331	P82966
P0C8G7	P0C8G7
Q9M069	Q9M069
Q86Y78	Q86Y78
P07204	P07204
P21589	P21589
P21589	P21588
P21589	E0D877
P21589	P44569
Q3YJS9	Q3YJS9
Q3YJS9	Q3YJT5
Q3YJS9	P15478
Q9ERQ6	Q9ERQ6
O95750	O95750
O95750	Q9GZV9
P07477	P07477
P07477	P08001
P07477	P49862
P07477	P00749
P07477	P10144
P07477	Q6UWY2
P07477	P00757
P07477	P36368
P07477	O60235
P07477	Q27081
P07477	O15393
P07477	Q2VG86
P07477	Q9XXV0
P07477	P00773
P07477	P00772
Q9P2K2	Q9P2K2
F1NSM7	F1NSM7
Q06K77	Q06K77
Q06K77	O96559
Q14802	Q14802
Q14802	Q61835
Q14802	P56513
Q5DW47	Q5DW47
O00100	O00100
P06206	P06206
P06206	P06207
A0A1L6K371	A0A1L6K371
A0A1L6K371	Q9ZWA9
A0A1L6K371	P13744
A0A1L6K371	P07728
Q99435	Q99435
A6P6V9	A6P6V9
P55000	P55000
P12318	P12318
P09237	P09237
P12273	P12273
P15270	P15270
A1X158	A1X158
Q9MYV1	Q9MYV1
P25331	P25331
P01571	P01571
P01571	P01567
P01571	P01563
P01571	P01570
P01571	P01568
P01571	P05013
P01571	P05014
P01571	P01572
P01571	P56829
P60214	P60214
P60214	P15226
P60214	P0DMM8
P60214	P60212
P60214	Q9UAC8
P60214	E7CLP2
P60214	Q26292
P60214	F1CGT6
P42264	P42264
P53366	P53366
Q55U20	Q55U20
P81264	P81264
Q96LA5	Q96LA5
Q5I2B2	Q5I2B2
P29320	P29320
P29320	P54762
P01299	P01299
P01299	Q9PW68
P01299	P10631
P20062	P20062
P20062	Q9XSC9
P0C1X2	P0C1X2
Q8TC27	Q8TC27
P12763	P12763
P12763	Q9DGI0
P12763	P29695
P12763	P02765
P11643	P11643
Q9BXJ3	Q9BXJ3
Q1HAY7	Q1HAY7
P20029	P20029
P20029	P77319
P20029	P0A6Y8
Q9GZM7	Q9GZM7
Q8RUW5	Q8RUW5
Q8RUW5	P08818
P84688	P84688
P84688	P84685
P29459	P29459
Q00954	Q00954
Q99ML8	Q99ML8
P0C8E8	P0C8E8
Q41638	Q41638
Q41638	Q6YDN9
P01019	P01019
Q84ZX5	Q84ZX5
B0JFB8	B0JFB8
Q6UWI2	Q6UWI2
P00684	P00684
P00684	P00669
P00684	P39873
P00684	P34096
P00684	P15468
P00684	P00683
P00684	Q9H1E1
P00684	P81649
P00684	P08904
P13727	P13727
P01189	P01189
B9A8D7	B9A8D7
Q8IVL8	Q8IVL8
Q8IVL8	P09955
Q8IVL8	P15086
Q8IVL8	P00730
Q8IVL8	P09954
Q9Z0L3	Q9Z0L3
O75462	O75462
Q9P0V8	Q9P0V8
Q20224	Q20224
P16382	P16382
Q05928	Q05928
P02708	P02708
P02708	P02712
P02708	P22770
Q24824	Q24824
Q24824	Q07831
Q24824	P34095
Q9BZR6	Q9BZR6
A7L035	A7L035
P52193	P52193
P52193	P28491
P52193	P15253
P60153	P60153
Q5AMT2	Q5AMT2
Q5AMT2	P15703
Q4WL81	Q4WL81
Q6UWY5	Q6UWY5
P01591	P01591
Q7Q7R8	Q7Q7R8
P22412	P22412
P22412	P31429
Q6Z232	Q6Z232
G8YYA5	G8YYA5
G8YYA5	C7B247
P22692	P22692
P22692	P13384
P22692	P20959
P22692	P16611
P22692	P08833
P22692	P21743
Q969J5	Q969J5
Q96EB1	Q96EB1
Q96FX2	Q96FX2
Q96HR8	Q96HR8
Q96IU4	Q96IU4
Q96RN5	Q96RN5
Q96RS6	Q96RS6
Q96S44	Q96S44
Q99502	Q99502
Q99502	O95677
Q99502	O00167
Q99502	Q99504
Q99750	Q99750
Q99856	Q99856
Q9BTL4	Q9BTL4
Q9BVW5	Q9BVW5
Q9BXJ9	Q9BXJ9
Q9C0K7	Q9C0K7
Q9C0K7	Q7RTN6
Q9C0K7	Q9UEW8
Q9H1J1	Q9H1J1
Q9H1J1	Q9BZI7
Q9H4B6	Q9H4B6
Q9H7B4	Q9H7B4
Q9H7B4	Q8NB12
Q9H7S9	Q9H7S9
Q9H8W5	Q9H8W5
Q9HB75	Q9HB75
Q9NSA3	Q9NSA3
Q9NUW8	Q9NUW8
Q9NV88	Q9NV88
Q9NVM9	Q9NVM9
Q9NWS1	Q9NWS1
Q9NX07	Q9NX07
Q9NZN8	Q9NZN8
Q9NZN9	Q9NZN9
Q9P0M2	Q9P0M2
Q9P1Z2	Q9P1Z2
Q9UFF9	Q9UFF9
Q9UPE1	Q9UPE1
Q9Y2I8	Q9Y2I8
Q9Y2T7	Q9Y2T7
Q9Y2T7	P16989
Q9Y314	Q9Y314
Q9Y3F4	Q9Y3F4
Q9Y3I0	Q9Y3I0
Q9Y616	Q9Y616
A6NGQ2	A6NGQ2
A8K830	A8K830
O00625	O00625
O14593	O14593
O14787	O14787
O14787	Q92973
O43251	O43251
O43251	Q9NWB1
O43299	O43299
O43592	O43592
O75496	O75496
O75689	O75689
O94829	O94829
O95704	O95704
P06746	P06746
P07992	P07992
P0DME0	P0DME0
P0DME0	Q01534
P20290	P20290
P28070	P28070
P30793	P30793
P38936	P38936
P40205	P40205
P43364	P43364
P43364	P43355
P43364	Q9UBF1
P45381	P45381
P46976	P46976
P46976	O15488
P49721	P49721
P51812	P51812
P51812	Q15418
P51812	Q15349
P51812	Q9UK32
P51812	O75582
P51843	P51843
P54253	P54253
P54727	P54727
P61289	P61289
P61962	P61962
P62750	P62750
P62987	P62987
P78560	P78560
P98170	P98170
P98170	Q13489
P98170	Q13490
Q9Y241	Q9Y241
Q9Y277	Q9Y277
Q9Y277	P21796
Q9Y287	Q9Y287
Q9Y287	Q9NQX7
Q9Y2C3	Q9Y2C3
Q9Y2C3	O43825
Q9Y2C3	O75752
Q9Y2C3	Q9BYG0
Q9Y3E5	Q9Y3E5
Q9Y5I7	Q9Y5I7
Q9Y5T4	Q9Y5T4
Q9Y5U8	Q9Y5U8
Q9Y5Y5	Q9Y5Y5
Q9Y5Z9	Q9Y5Z9
Q9Y663	Q9Y663
Q9Y672	Q9Y672
Q9Y6H6	Q9Y6H6
Q9Y6J6	Q9Y6J6
A0A087X1C5	A0A087X1C5
A0PJK1	A0PJK1
A0PJK1	P13866
B0YJ81	B0YJ81
